"","party","fullname","count","score","score2","error","error2"
"918","grüne","Nicolas_Lommatzsch",15,-0.30237163755333,0.490632683687201,0.192789358329644,0.171712822966441
"919","spd","Niels_Annen",15276,-0.305131235741235,0.318719619272518,0.0203896587208163,0.0255005634481962
"920","fdp","Niklas_Hannott",891,-0.00860613937122621,0.382459005466386,0.104887863467592,0.106599393747721
"921","csu","Niklas Martin Pabo_Neumeyer",41,-0.321574082144191,1.42144538967728,0.118981819637207,0.100693164466372
"922","grüne","Niklas_Riesmeier",9214,-0.232316466861197,0.0802601724242487,0.0316969382248071,0.0290365006896429
"923","fdp","Nils Jan_Gründer",12328,0.0658864266358756,0.276780304097717,0.0275166998542809,0.0271954610753574
"924","spd","Nils Hermann_Schmid",20730,-0.220498784699372,0.312761857059728,0.0155671568690822,0.0203876068626195
"925","spd","Nina_Scheer",1942,-0.30352539883029,0.232902293142217,0.0506138892910362,0.052326826368381
"926","grüne","Nina_Stahr",67135,-0.337305002152618,-0.00695681009956922,0.0109304437270997,0.0123049469583916
"927","cdu","Nina Ingrid_Warken",4060,0.0896287994991021,0.684874364732293,0.0396218153823215,0.0554390258096189
"928","grüne","Nino_Haustein",34010,-0.255367101857008,0.0280756180248376,0.0151264308255794,0.0148203787302252
"929","fdp","Nino_Ruschmeyer",43,0.0928094594316894,-0.27738505400025,0.204644280003701,0.403402063978749
"930","afd","Norbert_Kleinwächter",9651,1.22683971494757,-0.257105878645715,0.0559706584702472,0.0301381713739591
"931","die linke","Norbert Carl_Müller",16872,-0.270559996877737,-0.6328135703764,0.0228195627536176,0.0298745530925565
"932","fdp","Lina_Thiel",4486,-0.122596689750057,0.0919172540371654,0.0352158701917261,0.0385746262309026
"933","grüne","Norman_Volger",32135,-0.354729455015154,-0.109007338220168,0.0157063796381483,0.0161604599789268
"934","grüne","Omid_Nouripour",25510,-0.307146618618204,0.0229676153754285,0.0156968984979313,0.0157774634338331
"935","grüne","Nyke_Slawik",35466,-0.440590847252775,-0.140776471372107,0.0131513105398127,0.0146979044298933
"936","cdu","Nicolas Benjamin_Zippelius",1879,0.111776476357251,0.538997458495187,0.0710399918584745,0.0956946740235789
"937","grüne","Michael_Kopatz",686,-0.385924015091757,-0.00190998129543658,0.0822908188232535,0.109319971212405
"938","cdu","Florian_Oest",1604,-0.0251138878967387,0.655610581656248,0.0695643216267975,0.0914886291000836
"939","spd","Mahmut_Özdemir",8110,-0.148906423957256,0.340946277590511,0.0262363340295412,0.0285083306026954
"940","spd","Saliha Aydan_Özoguz",23019,-0.111647222024619,0.158862146690624,0.0214339595647228,0.0215470181132974
"941","grüne","Julia Ines_Link",428,-0.0656794099173548,-0.133264951927452,0.188356117951648,0.123255784334541
"942","cdu","Felix Wilhelm_Ockenfuß",141,-0.106153952113132,0.523738858959066,0.281821325259992,0.354680676068678
"943","fdp","Olaf Karl Wilhelm_Beek",21592,0.0709472068551251,0.361570588768138,0.0201214765437083,0.0207372388636452
"944","spd","Olaf_Scholz",45605,-0.274465957505719,0.471341183542509,0.0122577086155146,0.0154600130078064
"945","cdu","Olav Steffen_Gutting",5483,0.0904758365745124,0.561898378608662,0.037434670077426,0.0430940314832012
"946","afd","Olga_Petersen",6399,1.17461851649871,-0.315984981661593,0.0713991323127444,0.0384935282264629
"947","grüne","Oliver_Krischer",24091,-0.363540626534013,0.0184439951037536,0.0167101650222258,0.0168543162966789
"948","fdp","Oliver Wolfgang Hermann_Martin",230,-0.0347618686488148,1.05982404183252,0.0588560568030494,0.114532569016727
"949","fdp","Oliver_Luksic",170865,0.128663059888944,0.331903991998692,0.00667970916384759,0.00678618232553618
"950","grüne","Ophelia Johanna_Nick",6199,-0.411880443690661,0.231850149796141,0.0306100703784619,0.0294437194292964
"951","cdu","Axel_Kaufmann",68,-0.884612532243073,0.799821113627447,0,0
"952","cdu","Ottilie Paola_Klein",25418,-0.0287708558330081,0.843326284034525,0.0157953881554712,0.0277135625170332
"953","fdp","Otto_Fricke",64316,0.0419845202043794,0.374142603086655,0.0117134524482331,0.0126948712206418
"954","die linke","Otto_Ersching",116,-0.835673143620687,-2.06387017141794,0.16709757630682,0.395747143669343
"955","die linke","Daniel_Winter",772,-0.210076785444399,-0.603528813832259,0.100551861255711,0.113006018346655
"956","grüne","Ottmar Wilhelm_Holtz",5337,-0.378366548562848,-0.0852263843291425,0.0321362719191637,0.0385553378730798
"957","fdp","Roze_Özmen",31,-0.468584923780208,-0.192646480033897,0.183102235181405,0.531655392199107
"958","grüne","Patrick_Haermeyer",26604,-0.508369742526097,-0.124275743498141,0.0143661303133119,0.0164765383690841
"959","spd","Pankraz_Schaberl",8207,-0.181506751285075,0.116658440740493,0.0264908682546304,0.0321581285175736
"960","spd","Benedikt_Pape",185,-0.37070894723056,0.0192314086466121,0.210378038792665,0.374115410031853
"961","spd","Parsa_Marvi",17610,-0.166742581734703,0.33787060367794,0.0199980704296857,0.0231341021338481
"962","cdu","Pascal Michael_Reddig",6596,0.0338865682490892,0.596306548971202,0.0399349901868235,0.0530492811874977
"963","fdp","Pascal Felix Ernst_Kober",6867,0.0142017374584656,0.381465929366119,0.0273804135222088,0.0383494474606663
"964","die linke","Pascal_Meiser",49465,-0.488288600323639,-0.915158970839213,0.0105367324662276,0.018084762057706
"965","fdp","Patrick_Kurth",13283,-0.0227906282369449,0.361925495246529,0.0214925254822201,0.0224703189340285
"966","fdp","Patrick_Büker",1,0.579659734979595,0.595932722598006,0,0
"967","cdu","Patrick Ernst Hermann_Sensburg",7236,0.0789204530388243,0.993653516637509,0.0252951759457091,0.0478468124134064
"968","grüne","Paul-Nikos_Günther",7503,-0.402233432472439,-0.392283695341939,0.0355251181237299,0.0392769260778928
"969","afd","Paul Viktor_Podolay",409,2.1500621924774,-0.372044230080027,0.295722116334645,0.143039475884119
"970","grüne","Paula Louise_Piechotta",48383,-0.237550495124045,0.0815563431215184,0.0115931013142556,0.0119987489888451
"971","cdu","Paul_Ziemiak",35459,0.0892606331769068,0.788454054479924,0.0164845517770038,0.0229096328101749
"972","grüne","Pius_Bandte",881,-0.234942890294568,0.0975521785831621,0.0815145195416231,0.0993831509935661
"973","die linke","Pearl_Hahn",166,-0.491339539408364,-0.822199296038144,0.142211414831585,0.256214251883074
"974","cdu","Peter_Beyer",6797,-0.0966007034699578,0.718310506014793,0.0289651922523613,0.0449454169975309
"975","cdu","Peter_Stein",17399,0.00946892123293566,0.944668902533435,0.0173117817400048,0.0326783088870542
"976","cdu","Peter_Altmaier",25245,-0.100726725892466,0.686101002946752,0.0147499932777059,0.022958580660378
"977","csu","Peter_Aumer",66,0.116492963940784,0.848989038716547,0.228989553058235,0.277408066778136
"978","afd","Peter Christian Pascal_Boehringer",3417,1.42967210464537,-0.259364710074812,0.0839111842485396,0.0442982553452704
"979","afd","Peter_Felser",5088,1.07085017641887,-0.30369331775282,0.0737134724676154,0.0429423493162012
"980","fdp","Peter_Heidt",13745,-0.0549516789653726,0.368319232438948,0.0232846040576237,0.026790984695971
"981","afd","Jan_Petersen-Brendel",824,0.983350667657454,-0.418723833307331,0.202200427375857,0.107871073712068
"982","die linke","Thorben_Peters",2417,-0.31678415385981,-0.77878371488688,0.0565156140942306,0.0767240220492293
"983","die linke","Petra_Sitte",36435,-0.325181452221775,-0.553493633574298,0.0139217092263708,0.0207438236009398
"984","die linke","Petra Angelika_Pau",50241,-0.353531714534949,-0.712383326456381,0.0111105673470809,0.0164456233364733
"985","grüne","Petra Barbara_Schenke",23,-1.05070776264792,-0.734296857656891,0.0607688117037158,0.225517615524951
"986","afd","Petr_Bystron",28377,1.00813454513326,-0.286884950669345,0.0299037326439122,0.0159130925406171
"987","fdp","Philipp_Rösch",1586,0.0621590694684228,0.429604391497057,0.0959309371962982,0.0776147126779203
"988","grüne","Philip_Krämer",6651,-0.224719279248342,0.00683353696042024,0.034250716575013,0.0348718691944864
"989","fdp","Philip Franz Hermann_Hackemann",108143,0.0705374070910088,0.235049061912259,0.00895761165452657,0.0089693666619079
"990","fdp","Philipp_Hartewig",14161,-0.00963191354155409,0.436393926484609,0.0212706844091326,0.0240776084550405
"991","spd","Andreas Milan Gerhard_Philippi",739,-0.316904002618407,0.24522767621453,0.072999070279542,0.100528866744234
"992","die linke","Philipp Johannes_Rubach",98319,-0.4062538614677,-0.978949745760586,0.0084302616489462,0.0133857503351176
